시군구코드,지정년도,지정번호,신청일자,지정일자,취소일자,불가일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분
3200000,2020,0010,20200831,20201111,,,만성찬팅,서울특별시 관악구 신림로 322-4, 지하1층 (신림동),서울특별시 관악구 신림동  75번지 41호  ,3200000-101-2013-00369,호프/통닭,꿔바로우,320.73,서원동,상수도전용
3200000,2001,0022,20010630,20010701,20021130,,헤바스킹(HebasKing),서울특별시 관악구 낙성대로 8, 1층 (봉천동),서울특별시 관악구 봉천동  1627번지 7호  ,3200000-101-2000-06299,호프/통닭,삼겹살,70.54,낙성대동,상수도전용
3200000,2020,0009,20200831,20201111,,,이선생 신림점,서울특별시 관악구 대학6길 22, 지하1층 (신림동),서울특별시 관악구 신림동  1537번지 5호  ,3200000-101-2003-00290,한식,삼계탕,57.90,대학동,
3200000,2001,0032,20010630,20010701,20070727,,놀부부대찌개앤놀부족발보쌈 난곡점,서울특별시 관악구 남부순환로 1487, 지하1층, 지상1층 (신림동),서울특별시 관악구 신림동  527번지 6호  ,3200000-101-1989-07488,한식,보쌈,406.80,신사동,상수도전용
3200000,2001,0179,20011230,20011231,20041229,,들향기칼국수 쭈꾸미,서울특별시 관악구 조원중앙로 13, (신림동),서울특별시 관악구 신림동  1659번지 22호  ,3200000-101-2000-11216,한식,돼지갈비,96.43,조원동,
3200000,,,20130708,,,20131025,들향기칼국수 쭈꾸미,서울특별시 관악구 조원중앙로 13, (신림동),서울특별시 관악구 신림동  1659번지 22호  ,3200000-101-2000-11216,한식,,96.43,조원동,
3200000,2001,0057,20010630,20010701,20060704,,광시생고기,서울특별시 관악구 관악로30길 15, 1층 (봉천동),서울특별시 관악구 봉천동  15번지 8호  ,3200000-101-1997-06015,한식,포천이동갈비,220.00,청림동,상수도전용
3200000,,,20090313,,,20090501,미가할매집,서울특별시 관악구 신림로 374, 지상2~6층 (신림동),서울특별시 관악구 신림동  1428번지 21호  ,3200000-101-2009-00003,한식,,955.35,신림동,
3200000,2009,466 ,20090313,20090501,20151201,,일점사,서울특별시 관악구 관악로16길 25, 1층 (봉천동),서울특별시 관악구 봉천동  1601번지 3호  ,3200000-101-1983-07449,한식,쭈꾸미,71.50,낙성대동,상수도전용
3200000,,,20070720,,20141203,,맛집식당,서울특별시 관악구 남현1길 58, (남현동),서울특별시 관악구 남현동  1062번지 15호  ,3200000-101-2000-10513,한식,,70.20,남현동,상수도전용
3200000,2005,0313,20050614,20050630,20111024,,북경반점,서울특별시 관악구 남부순환로 1620, (신림동),서울특별시 관악구 신림동  75번지 43호  ,3200000-101-2002-00672,중국식,자장면,185.00,서원동,상수도전용
3200000,2019,0016,20190830,20191111,,,라공방 신림점,서울특별시 관악구 신림로 340, 르네상스복합쇼핑몰 1층 53~88호 (신림동),서울특별시 관악구 신림동  1422번지 5호  르네상스복합쇼핑몰,3200000-101-2019-00305,중국식,,124.82,신림동,
3200000,2001,0037,20010630,20010701,20060206,,대어회집,서울특별시 관악구 관악로17길 32, 1층 (봉천동),서울특별시 관악구 봉천동  875번지 14호  지상1층,3200000-101-2000-04439,회집,소갈비,89.23,청룡동,상수도전용
3200000,2001,0151,20011230,20011231,20050104,,옥돌집,서울특별시 관악구 관악로 208, (봉천동),서울특별시 관악구 봉천동  62번지 17호  ,3200000-101-1991-00179,한식,불고기,109.63,행운동,상수도전용
3200000,2018,103 ,20170920,20181109,,,장수촌,서울특별시 관악구 남부순환로 2082-37, 2층 (남현동),서울특별시 관악구 남현동  1060번지 17호  ,3200000-101-1997-09743,기타,,152.60,남현동,상수도전용
3200000,2005,0305,20050614,20050630,20070727,,솔잎솔 제주흑돈,서울특별시 관악구 봉천로 380, (봉천동,지상1층),서울특별시 관악구 봉천동  931번지 26호  지상1층,3200000-101-2002-00230,한식,순대국,56.00,은천동,상수도전용
3200000,,,20100510,,20181026,,솔잎솔 제주흑돈,서울특별시 관악구 봉천로 380, (봉천동,지상1층),서울특별시 관악구 봉천동  931번지 26호  지상1층,3200000-101-2002-00230,한식,,56.00,은천동,상수도전용
3200000,2018,37  ,20070720,20181109,,,진우리참치,서울특별시 관악구 봉천로 472, 1층 101호 (봉천동, CO-OP RESIDENCE),서울특별시 관악구 봉천동  861번지 7호  CO-OP RESIDENCE,3200000-101-2005-00256,일식,,129.31,중앙동,상수도전용
3200000,2001,0011,20010630,20010701,20031117,,미추원주추어탕,서울특별시 관악구 관악로 108, (지상2층)호 (봉천동),서울특별시 관악구 봉천동  1595번지 8호  -(지상2층),3200000-101-2001-00473,한식,돼지갈비,234.00,낙성대동,상수도전용
3200000,2005,0312,20050614,20050630,20070727,,the진국수육국밥,서울특별시 관악구 남부순환로 1598, 1층 (신림동),서울특별시 관악구 신림동  1640번지 1호  지상1층,3200000-101-1993-00315,한식,김치볶음밥,49.50,서원동,상수도전용
3200000,2005,0221,20050614,20050630,20131204,,uncle-B,서울특별시 관악구 낙성대로 14, 1층 (봉천동),서울특별시 관악구 봉천동  1625번지 28호  지상1층,3200000-101-1990-00213,한식,추어탕,130.64,낙성대동,상수도전용
3200000,2001,0005,20010630,20010701,20080725,,강남숯불갈비,서울특별시 관악구 조원로 20, 1층 (신림동),서울특별시 관악구 신림동  1653번지 0호  지상1층,3200000-101-1991-00152,한식,불고기,92.00,조원동,상수도전용
3200000,2008,442 ,20080710,20080725,20111024,,강남숯불갈비,서울특별시 관악구 조원로 20, 1층 (신림동),서울특별시 관악구 신림동  1653번지 0호  지상1층,3200000-101-1991-00152,한식,설렁탕,92.00,조원동,상수도전용
3200000,,,20050614,,20090923,,목포산낙지철판해물,서울특별시 관악구 조원로 125-1, (신림동),서울특별시 관악구 신림동  503번지 38호  ,3200000-101-1993-00346,한식,,91.06,신사동,상수도전용
3200000,2006,359 ,20060703,20060711,20080725,,정박사정육식당,서울특별시 관악구 관악로14길 15, 지상1층 (봉천동),서울특별시 관악구 봉천동  1599번지 4호  ,3200000-101-2005-00466,한식,고등어조림,95.71,낙성대동,상수도전용
3200000,2018,126 ,20080710,20181109,,,정박사정육식당,서울특별시 관악구 관악로14길 15, 지상1층 (봉천동),서울특별시 관악구 봉천동  1599번지 4호  ,3200000-101-2005-00466,한식,,95.71,낙성대동,상수도전용
3200000,2001,0125,20010630,20010701,20060803,,삼차,서울특별시 관악구 관악로16길 13, 1층 (봉천동),서울특별시 관악구 봉천동  853번지 2호  지상1층,3200000-101-2001-00387,한식,갈비탕,117.90,낙성대동,
3200000,2019,0002,20190830,20191111,,,갯바위,서울특별시 관악구 남부순환로216길 13, 1층 (봉천동),서울특별시 관악구 봉천동  876번지 19호  ,3200000-101-1997-06066,한식,,40.01,청룡동,상수도전용
3200000,2001,0094,20010630,20010701,20070727,,신림정,서울특별시 관악구 봉천로 248, 1층 (신림동),서울특별시 관악구 신림동  1428번지 5호  지상1층,3200000-101-1985-00500,한식,꽃등심,91.88,신림동,상수도전용
3200000,2001,0145,20010630,20010701,20030530,,황토방,서울특별시 관악구 관악로12길 6, 2층 (봉천동),서울특별시 관악구 봉천동  1597번지 7호  ,3200000-101-1997-05894,한식,삼겹살,96.16,낙성대동,상수도전용
3200000,2001,0135,20010630,20010701,20031010,,정금바베큐통삼겹,서울특별시 관악구 봉천로 333, (봉천동),서울특별시 관악구 봉천동  957번지 33호  ,3200000-101-1988-00084,한식,숯불갈비,64.21,은천동,상수도전용
3200000,2001,0015,20010630,20010701,20070727,,금산삼계탕,서울특별시 관악구 봉천로 492, 1층 (봉천동),서울특별시 관악구 봉천동  1666번지 3호  지상1층,3200000-101-1983-09709,한식,삼계탕,57.95,행운동,상수도전용
3200000,2019,0004,20190830,20191111,,,장수우렁불백,서울특별시 관악구 관악로 148, (봉천동),서울특별시 관악구 봉천동  1598번지 20호  ,3200000-101-2001-11128,한식,,72.75,낙성대동,상수도전용
3200000,2005,0137,20050614,20050630,20070727,,포천이동갈비촌,서울특별시 관악구 신원로 40-12, 1,2층 (신림동),서울특별시 관악구 신림동  1637번지 20호  ,3200000-101-1995-06409,한식,사골우거지,130.11,서원동,상수도전용
3200000,2005,0303,20050614,20050630,20060711,,황토방,서울특별시 관악구 관악로12길 6, 2층 (봉천동),서울특별시 관악구 봉천동  1597번지 7호  ,3200000-101-1997-05894,한식,돼지갈비,96.16,낙성대동,상수도전용
3200000,2005,0339,20050614,20050630,20070727,,정금바베큐통삼겹,서울특별시 관악구 봉천로 333, (봉천동),서울특별시 관악구 봉천동  957번지 33호  ,3200000-101-1988-00084,한식,돼지갈비,64.21,은천동,상수도전용
3200000,2005,0315,20050614,20050630,20070727,,서울생고기촌,서울특별시 관악구 대학5길 9, 지상1층 (신림동),서울특별시 관악구 신림동  241번지 108호  ,3200000-101-1999-09952,한식,생목살,37.91,대학동,상수도전용
3200000,,,20140705,,,20141110,성암축산정육식당,서울특별시 관악구 관천로 45, (신림동,지상1층),서울특별시 관악구 신림동  1587번지 7호  지상1층,3200000-101-2007-00380,한식,,71.56,신원동,
3200000,2001,0058,20010630,20010701,20060809,,만리장성,서울특별시 관악구 관악로 146, 2층 (봉천동),서울특별시 관악구 봉천동  1598번지 21호  ,3200000-101-1999-05591,중국식,자장면,113.76,낙성대동,상수도전용
3200000,2001,0071,20010630,20010701,20020723,,복돈이부추삼겹살,서울특별시 관악구 신림로65길 10-3, 1층 (신림동),서울특별시 관악구 신림동  1432번지 88호  ,3200000-101-2001-00847,회집,활어회, 초밥,68.20,신림동,상수도전용
3200000,2005,0071,20050614,20050630,20170414,,복돈이부추삼겹살,서울특별시 관악구 신림로65길 10-3, 1층 (신림동),서울특별시 관악구 신림동  1432번지 88호  ,3200000-101-2001-00847,회집,활어회,68.20,신림동,상수도전용
3200000,2018,69  ,20160920,20181109,,,동경에서 만난 매운라멘과 돈카츠 신림점,서울특별시 관악구 신림로11길 18, (신림동,지상1층),서울특별시 관악구 신림동  241번지 43호  지상1층,3200000-101-2008-00014,한식,,44.97,대학동,
3200000,2005,0281,20050614,20050630,20070727,,채쉐프 초장집,서울특별시 관악구 신림로 371, (신림동),서울특별시 관악구 신림동  1431번지 2호  ,3200000-101-2003-00512,회집,활어회,81.82,신림동,상수도전용
